repo_full_name,number,url,state,createdAt,closedAt,mergedAt,changedFiles,additions,deletions,desc_len,participants,comments,reviews,tempo_analise_horas
org6/repo6,2472,https://github.com/org6/repo6/pull/2472,MERGED,2025-03-08T02:18:17Z,,2025-03-08T19:41:22Z,7,266,62,694,2,7,3,17.385
org10/repo10,2029,https://github.com/org10/repo10/pull/2029,MERGED,2025-06-04T06:41:17Z,,2025-06-10T02:36:27Z,12,170,73,803,5,10,3,139.919
org9/repo9,1930,https://github.com/org9/repo9/pull/1930,MERGED,2024-12-11T17:46:17Z,,2024-12-19T21:38:31Z,1,93,2,1107,3,6,2,195.87
org7/repo7,5147,https://github.com/org7/repo7/pull/5147,MERGED,2025-01-31T18:22:17Z,,2025-02-05T07:08:09Z,17,296,58,721,5,8,1,108.764
org8/repo8,4718,https://github.com/org8/repo8/pull/4718,MERGED,2024-11-25T06:14:17Z,,2024-11-30T09:06:07Z,1,570,135,1243,5,10,2,122.864
org6/repo6,5738,https://github.com/org6/repo6/pull/5738,MERGED,2024-11-27T16:44:17Z,,2024-12-05T15:59:32Z,1,338,134,646,2,5,1,191.254
org10/repo10,7302,https://github.com/org10/repo10/pull/7302,MERGED,2025-05-03T08:57:17Z,,2025-05-12T05:50:40Z,14,158,0,363,3,11,2,212.89
org8/repo8,1321,https://github.com/org8/repo8/pull/1321,CLOSED,2025-07-05T05:56:17Z,2025-07-10T17:48:13Z,,2,371,91,617,5,3,4,131.866
org4/repo4,2473,https://github.com/org4/repo4/pull/2473,MERGED,2025-08-20T03:12:17Z,,2025-08-22T10:52:28Z,1,242,89,740,1,9,1,55.67
org9/repo9,885,https://github.com/org9/repo9/pull/885,MERGED,2025-02-03T16:26:17Z,,2025-02-10T11:46:34Z,2,75,149,247,3,13,6,163.338
org8/repo8,2660,https://github.com/org8/repo8/pull/2660,MERGED,2025-08-04T08:43:17Z,,2025-08-04T21:20:23Z,10,287,75,777,5,0,2,12.618
org6/repo6,9868,https://github.com/org6/repo6/pull/9868,MERGED,2025-03-25T23:14:17Z,,2025-03-27T02:55:23Z,12,423,74,604,4,5,1,27.685
org8/repo8,2646,https://github.com/org8/repo8/pull/2646,MERGED,2025-01-11T19:08:17Z,,2025-01-21T07:22:29Z,13,399,210,793,7,4,1,228.237
org6/repo6,2737,https://github.com/org6/repo6/pull/2737,CLOSED,2025-03-26T19:07:17Z,2025-04-01T02:56:37Z,,4,158,152,1191,2,13,1,127.822
org7/repo7,3715,https://github.com/org7/repo7/pull/3715,MERGED,2025-06-17T11:50:17Z,,2025-06-21T01:10:23Z,13,245,81,1389,5,3,6,85.335
org6/repo6,1320,https://github.com/org6/repo6/pull/1320,MERGED,2025-06-11T22:07:17Z,,2025-06-16T14:56:26Z,2,299,121,678,3,11,1,112.819
org2/repo2,1965,https://github.com/org2/repo2/pull/1965,MERGED,2025-03-10T15:36:17Z,,2025-03-18T03:38:19Z,13,506,0,1402,5,4,1,180.034
org3/repo3,2786,https://github.com/org3/repo3/pull/2786,MERGED,2025-07-29T17:12:17Z,,2025-08-04T14:59:59Z,17,81,24,279,1,9,1,141.795
org9/repo9,2147,https://github.com/org9/repo9/pull/2147,MERGED,2025-09-22T20:30:17Z,,2025-10-02T13:31:06Z,4,150,95,1068,3,1,2,233.014
org4/repo4,9609,https://github.com/org4/repo4/pull/9609,MERGED,2025-04-17T05:47:17Z,,2025-04-21T10:21:04Z,13,362,39,124,3,12,1,100.563
org9/repo9,2143,https://github.com/org9/repo9/pull/2143,CLOSED,2025-01-02T09:48:17Z,2025-01-07T12:20:10Z,,10,23,99,447,4,13,2,122.531
org9/repo9,8696,https://github.com/org9/repo9/pull/8696,CLOSED,2024-12-17T20:31:17Z,2024-12-25T14:52:45Z,,10,329,112,896,3,4,2,186.358
org2/repo2,7263,https://github.com/org2/repo2/pull/7263,MERGED,2025-04-13T11:49:17Z,,2025-04-19T13:17:40Z,7,431,131,198,3,14,4,145.473
org9/repo9,3320,https://github.com/org9/repo9/pull/3320,MERGED,2024-07-25T06:13:17Z,,2024-07-29T10:12:52Z,1,111,226,419,3,4,2,99.993
org3/repo3,6000,https://github.com/org3/repo3/pull/6000,MERGED,2025-07-19T07:25:17Z,,2025-07-20T16:21:45Z,8,139,134,522,2,1,1,32.941
org7/repo7,5557,https://github.com/org7/repo7/pull/5557,CLOSED,2025-02-27T21:59:17Z,2025-03-03T02:26:03Z,,9,447,105,619,3,1,4,76.446
org9/repo9,1054,https://github.com/org9/repo9/pull/1054,MERGED,2025-08-04T13:25:17Z,,2025-08-05T14:34:07Z,19,296,83,935,1,13,2,25.147
org3/repo3,8792,https://github.com/org3/repo3/pull/8792,MERGED,2025-01-06T21:50:17Z,,2025-01-13T21:56:18Z,4,477,143,544,3,15,1,168.1
org5/repo5,1373,https://github.com/org5/repo5/pull/1373,MERGED,2024-11-23T16:17:17Z,,2024-11-26T07:45:23Z,28,261,103,1194,2,4,1,63.468
org3/repo3,4291,https://github.com/org3/repo3/pull/4291,MERGED,2025-09-06T02:09:17Z,,2025-09-15T09:53:39Z,4,100,76,66,4,4,5,223.739
org5/repo5,606,https://github.com/org5/repo5/pull/606,CLOSED,2025-09-25T19:35:17Z,2025-09-30T20:56:42Z,,4,207,48,915,1,2,1,121.357
org9/repo9,5043,https://github.com/org9/repo9/pull/5043,CLOSED,2024-10-13T17:07:17Z,2024-10-17T03:22:14Z,,5,151,46,356,4,9,2,82.249
org2/repo2,4188,https://github.com/org2/repo2/pull/4188,CLOSED,2025-02-23T07:18:17Z,2025-02-24T03:34:52Z,,15,25,75,1028,2,13,3,20.276
org5/repo5,5967,https://github.com/org5/repo5/pull/5967,CLOSED,2025-04-12T04:01:17Z,2025-04-14T14:41:19Z,,14,158,177,1141,3,2,2,58.667
org4/repo4,4067,https://github.com/org4/repo4/pull/4067,CLOSED,2025-01-09T18:21:17Z,2025-01-10T16:09:33Z,,13,408,23,934,2,3,5,21.804
org3/repo3,9775,https://github.com/org3/repo3/pull/9775,MERGED,2025-03-09T21:01:17Z,,2025-03-17T01:59:03Z,5,166,225,1215,6,4,1,172.963
org7/repo7,8283,https://github.com/org7/repo7/pull/8283,CLOSED,2025-07-18T09:33:17Z,2025-07-23T10:36:14Z,,12,97,92,220,1,3,2,121.049
org3/repo3,5910,https://github.com/org3/repo3/pull/5910,MERGED,2025-08-06T23:28:17Z,,2025-08-11T11:48:15Z,10,440,104,712,4,3,2,108.333
org9/repo9,8769,https://github.com/org9/repo9/pull/8769,CLOSED,2025-08-09T23:48:17Z,2025-08-10T15:39:25Z,,8,290,74,1424,4,17,4,15.852
org7/repo7,1258,https://github.com/org7/repo7/pull/1258,MERGED,2025-01-23T17:03:17Z,,2025-01-31T09:07:40Z,7,174,58,906,4,5,1,184.073
org10/repo10,2187,https://github.com/org10/repo10/pull/2187,CLOSED,2025-09-21T21:18:17Z,2025-09-26T17:53:47Z,,12,293,66,746,2,13,2,116.592
org9/repo9,3265,https://github.com/org9/repo9/pull/3265,MERGED,2025-04-26T02:22:17Z,,2025-04-30T19:52:42Z,9,409,144,2137,2,5,4,113.507
org4/repo4,1223,https://github.com/org4/repo4/pull/1223,MERGED,2024-12-09T01:12:17Z,,2024-12-16T12:36:05Z,3,409,35,431,4,10,1,179.397
org7/repo7,407,https://github.com/org7/repo7/pull/407,MERGED,2025-07-13T23:50:17Z,,2025-07-20T19:25:10Z,9,193,12,537,3,2,3,163.581
org6/repo6,6526,https://github.com/org6/repo6/pull/6526,CLOSED,2025-07-31T21:36:17Z,2025-08-01T00:25:05Z,,8,285,65,1278,7,13,2,2.813
org5/repo5,1667,https://github.com/org5/repo5/pull/1667,MERGED,2025-08-30T23:03:17Z,,2025-09-06T07:26:46Z,2,409,70,389,6,7,1,152.391
org1/repo1,6555,https://github.com/org1/repo1/pull/6555,MERGED,2024-07-06T02:46:17Z,,2024-07-08T03:35:46Z,14,144,49,537,4,0,3,48.825
org3/repo3,7737,https://github.com/org3/repo3/pull/7737,CLOSED,2025-03-01T09:03:17Z,2025-03-04T08:31:12Z,,5,358,78,487,1,0,1,71.465
org3/repo3,2649,https://github.com/org3/repo3/pull/2649,MERGED,2025-08-23T18:49:17Z,,2025-09-01T20:15:07Z,11,604,199,689,4,9,3,217.43
org2/repo2,5232,https://github.com/org2/repo2/pull/5232,MERGED,2025-05-30T02:05:17Z,,2025-06-07T04:20:03Z,11,581,115,148,5,7,3,194.246
org1/repo1,8162,https://github.com/org1/repo1/pull/8162,MERGED,2025-05-07T20:58:17Z,,2025-05-09T03:10:52Z,1,40,106,1049,3,13,1,30.21
org1/repo1,2085,https://github.com/org1/repo1/pull/2085,CLOSED,2025-09-12T11:36:17Z,2025-09-20T02:53:26Z,,13,424,67,1630,5,13,1,183.286
org8/repo8,7356,https://github.com/org8/repo8/pull/7356,MERGED,2025-05-20T16:15:17Z,,2025-05-22T21:58:01Z,11,204,160,77,5,6,4,53.712
org1/repo1,2059,https://github.com/org1/repo1/pull/2059,CLOSED,2025-05-30T22:23:17Z,2025-05-31T07:24:37Z,,14,465,57,224,2,6,1,9.022
org5/repo5,8593,https://github.com/org5/repo5/pull/8593,CLOSED,2024-12-06T22:57:17Z,2024-12-09T13:33:59Z,,16,221,170,691,1,18,2,62.612
org9/repo9,4048,https://github.com/org9/repo9/pull/4048,MERGED,2025-09-14T14:36:17Z,,2025-09-21T02:31:15Z,16,348,285,588,2,7,3,155.916
org6/repo6,3716,https://github.com/org6/repo6/pull/3716,MERGED,2025-01-23T15:37:17Z,,2025-01-27T00:45:14Z,7,110,137,5,1,5,3,81.132
org4/repo4,3782,https://github.com/org4/repo4/pull/3782,MERGED,2025-02-04T16:05:17Z,,2025-02-12T06:36:04Z,8,421,55,822,4,2,3,182.513
org10/repo10,2399,https://github.com/org10/repo10/pull/2399,MERGED,2025-03-15T11:08:17Z,,2025-03-15T16:48:33Z,1,363,133,1150,2,0,2,5.671
org3/repo3,5395,https://github.com/org3/repo3/pull/5395,CLOSED,2025-06-26T00:40:17Z,2025-07-05T09:16:59Z,,10,480,119,385,4,3,3,224.612
org1/repo1,1282,https://github.com/org1/repo1/pull/1282,CLOSED,2025-05-12T03:59:17Z,2025-05-16T08:49:56Z,,1,106,34,1226,1,17,4,100.844
org4/repo4,6107,https://github.com/org4/repo4/pull/6107,CLOSED,2024-12-25T06:09:17Z,2024-12-28T11:44:57Z,,13,31,112,707,6,0,3,77.594
org8/repo8,1026,https://github.com/org8/repo8/pull/1026,MERGED,2024-08-17T09:05:17Z,,2024-08-19T07:52:27Z,4,114,36,1660,6,9,1,46.786
org5/repo5,62,https://github.com/org5/repo5/pull/62,MERGED,2024-09-20T22:43:17Z,,2024-09-30T02:40:18Z,3,257,82,751,5,22,1,219.95
org7/repo7,4114,https://github.com/org7/repo7/pull/4114,MERGED,2025-02-19T18:13:17Z,,2025-03-01T00:57:55Z,12,58,165,4,1,2,1,222.744
org10/repo10,1295,https://github.com/org10/repo10/pull/1295,MERGED,2025-01-11T21:56:17Z,,2025-01-19T10:37:51Z,14,263,100,322,2,20,1,180.693
org2/repo2,4340,https://github.com/org2/repo2/pull/4340,MERGED,2024-11-17T03:08:17Z,,2024-11-18T02:16:46Z,7,30,100,1165,1,1,2,23.141
org2/repo2,4816,https://github.com/org2/repo2/pull/4816,MERGED,2025-05-03T00:45:17Z,,2025-05-05T16:59:41Z,2,207,197,829,4,3,5,64.24
org4/repo4,5347,https://github.com/org4/repo4/pull/5347,MERGED,2025-08-26T19:05:17Z,,2025-09-05T17:16:33Z,10,545,85,433,5,10,3,238.188
org6/repo6,662,https://github.com/org6/repo6/pull/662,MERGED,2024-07-08T21:07:17Z,,2024-07-10T01:44:01Z,1,454,67,1093,2,11,1,28.612
org5/repo5,104,https://github.com/org5/repo5/pull/104,MERGED,2025-08-03T04:43:17Z,,2025-08-10T07:03:03Z,14,258,497,1222,6,8,4,170.329
org6/repo6,6701,https://github.com/org6/repo6/pull/6701,MERGED,2024-10-17T01:10:17Z,,2024-10-23T06:12:53Z,3,426,112,241,3,8,1,149.043
org3/repo3,8750,https://github.com/org3/repo3/pull/8750,MERGED,2025-08-11T01:11:17Z,,2025-08-15T00:39:12Z,17,200,61,772,3,8,1,95.465
org6/repo6,3231,https://github.com/org6/repo6/pull/3231,MERGED,2025-03-09T05:56:17Z,,2025-03-11T06:49:06Z,9,374,29,896,1,11,1,48.88
org3/repo3,2130,https://github.com/org3/repo3/pull/2130,CLOSED,2025-09-25T10:46:17Z,2025-09-26T20:58:15Z,,2,361,236,375,4,11,2,34.199
org2/repo2,1783,https://github.com/org2/repo2/pull/1783,CLOSED,2025-03-15T18:33:17Z,2025-03-23T19:42:36Z,,12,250,139,1848,1,3,2,193.155
org7/repo7,1414,https://github.com/org7/repo7/pull/1414,MERGED,2024-09-27T09:37:17Z,,2024-10-05T15:30:54Z,9,95,69,1191,3,2,2,197.893
org9/repo9,2564,https://github.com/org9/repo9/pull/2564,CLOSED,2025-03-17T05:14:17Z,2025-03-18T17:06:37Z,,14,267,30,1344,1,1,1,35.872
org6/repo6,1929,https://github.com/org6/repo6/pull/1929,MERGED,2025-03-11T14:52:17Z,,2025-03-17T02:53:02Z,6,396,1,464,2,0,1,132.012
org10/repo10,8020,https://github.com/org10/repo10/pull/8020,CLOSED,2025-02-04T11:53:17Z,2025-02-12T03:08:38Z,,9,110,106,488,3,11,3,183.256
org2/repo2,7242,https://github.com/org2/repo2/pull/7242,MERGED,2025-01-12T13:39:17Z,,2025-01-12T23:26:20Z,17,364,110,169,5,8,1,9.784
org3/repo3,424,https://github.com/org3/repo3/pull/424,CLOSED,2024-07-21T07:42:17Z,2024-07-28T15:24:18Z,,19,396,355,425,3,9,1,175.7
org4/repo4,1074,https://github.com/org4/repo4/pull/1074,MERGED,2024-07-30T06:42:17Z,,2024-08-06T20:11:17Z,12,132,112,470,1,5,2,181.483
org9/repo9,3890,https://github.com/org9/repo9/pull/3890,MERGED,2025-04-19T01:19:17Z,,2025-04-21T01:04:03Z,13,124,28,494,4,7,1,47.746
org9/repo9,796,https://github.com/org9/repo9/pull/796,MERGED,2024-11-08T03:26:17Z,,2024-11-12T16:10:03Z,4,135,88,1257,5,2,1,108.729
org6/repo6,9460,https://github.com/org6/repo6/pull/9460,MERGED,2025-07-17T04:00:17Z,,2025-07-24T19:31:06Z,13,351,237,1495,4,5,4,183.513
org10/repo10,5123,https://github.com/org10/repo10/pull/5123,MERGED,2024-09-22T23:34:17Z,,2024-09-23T07:40:55Z,4,92,121,623,4,9,2,8.11
