language,task,threads,run,time_sec,cpu_percent,mem_mb
Java,matrix_mul,1,1,73.28512634124472,35.957886676115095,249.8056128494326
Java,matrix_mul,1,2,72.23205840665638,38.93156114500543,268.9340583297299
Java,matrix_mul,1,3,74.17797294993001,35.563492305660404,262.6902256761184
Java,matrix_mul,1,4,77.6385535288577,37.01437871516601,242.03778890887736
Java,matrix_mul,1,5,74.72422421999522,35.45782575787063,268.5291683516545
Java,matrix_mul,1,6,76.55853734147362,30.996725380679205,251.28157462859747
Java,matrix_mul,1,7,78.90632524827346,34.12286052832886,249.60258554478338
Java,matrix_mul,1,8,75.33020435093576,41.49788783886151,244.78772475644402
Java,matrix_mul,1,9,72.16798741057656,35.24824255134681,258.0261356191251
Java,matrix_mul,1,10,75.4705655241501,35.00188055555066,268.43809793614133
Java,matrix_mul,2,1,58.19874506658382,38.33769292229217,236.29768346043255
Java,matrix_mul,2,2,54.757094656220765,38.278485203136505,265.60145293028035
Java,matrix_mul,2,3,56.541573546791895,40.239654249321106,249.3648755194646
Java,matrix_mul,2,4,61.338025168695985,35.28116238523263,258.0045704466433
Java,matrix_mul,2,5,55.713390438250634,38.058528175481634,246.92969749029103
Java,matrix_mul,2,6,61.19842626291543,40.75596822187475,252.46113465210104
Java,matrix_mul,2,7,61.333233972456526,42.69948442899757,260.6987668883075
Java,matrix_mul,2,8,61.07939935181965,39.976276797857835,270.0481159078708
Java,matrix_mul,2,9,64.32096086322987,38.1614768845099,244.50893561715552
Java,matrix_mul,2,10,60.40593081784749,41.51672629003116,253.39475672275432
Java,matrix_mul,4,1,51.59745563201777,49.97993619582251,270.50009355904183
Java,matrix_mul,4,2,51.02036216747839,51.705930064480086,260.4413114770559
Java,matrix_mul,4,3,48.939235422352134,45.39153224240572,263.47531158539107
Java,matrix_mul,4,4,45.354809454684215,47.33478058463336,280.7462269009498
Java,matrix_mul,4,5,51.1806399003214,51.38000370561832,280.0154344249379
Java,matrix_mul,4,6,47.50045321034659,48.75545154988071,260.7883139198699
Java,matrix_mul,4,7,46.83107490644514,50.44579109167035,270.5131610092089
Java,matrix_mul,4,8,45.536556985489455,51.633413871781244,274.33609605654124
Java,matrix_mul,4,9,52.04192622243847,53.649750422692065,260.02481752289543
Java,matrix_mul,4,10,51.56148868063837,49.73684479757594,279.12414152042317
Java,matrix_mul,8,1,40.86687035374226,74.33892287537991,288.85071795417156
Java,matrix_mul,8,2,46.31333039968319,70.05922030462857,297.95253155861326
Java,matrix_mul,8,3,40.65656757350523,68.50293690301653,295.8496973785235
Java,matrix_mul,8,4,40.76026803083348,66.86868541236764,284.37459811925277
Java,matrix_mul,8,5,40.204245894957076,68.14198759553129,285.17427354339503
Java,matrix_mul,8,6,40.193446774129335,72.19078012027889,299.80928477487305
Java,matrix_mul,8,7,38.53377525382314,73.16340018839091,284.71265173876543
Java,matrix_mul,8,8,41.67324392632181,71.85993751794705,274.30729394798084
Java,matrix_mul,8,9,37.23477737829596,69.19434615117412,292.2048686326519
Java,matrix_mul,8,10,39.72203498873201,71.33831667293056,273.5101518049718
Java,matrix_mul,16,1,27.04545346777858,100.0,333.5360710207453
Java,matrix_mul,16,2,35.910175722620956,100.0,328.60857811878407
Java,matrix_mul,16,3,34.12681687268812,100.0,325.82935591771974
Java,matrix_mul,16,4,33.75282409770589,100.0,311.99160086500694
Java,matrix_mul,16,5,38.708053822014826,100.0,334.5794014309437
Java,matrix_mul,16,6,35.46930843914721,100.0,325.5944642980332
Java,matrix_mul,16,7,32.89979436854345,100.0,321.7600896010845
Java,matrix_mul,16,8,37.76554273608079,100.0,323.4656232491267
Java,matrix_mul,16,9,34.36478375059827,100.0,327.2770702475967
Java,matrix_mul,16,10,33.75242090128868,100.0,336.35512356667795
Java,matrix_mul,32,1,26.666050359450253,100.0,406.9572692402285
Java,matrix_mul,32,2,23.904209129484652,100.0,394.3626015427011
Java,matrix_mul,32,3,27.835117302320867,100.0,422.1995436492062
Java,matrix_mul,32,4,28.194482518179846,100.0,408.8325299573793
Java,matrix_mul,32,5,23.403217018460165,100.0,402.23032526405734
Java,matrix_mul,32,6,33.25808047324926,100.0,422.2738699484573
Java,matrix_mul,32,7,34.69993265232685,100.0,432.2465959016049
Java,matrix_mul,32,8,26.899378635274772,100.0,401.31269265620494
Java,matrix_mul,32,9,25.296027150064692,100.0,400.80758302916496
Java,matrix_mul,32,10,26.42109980086918,100.0,404.42195282865646
Java,io_bound,1,1,35.24726004683372,34.254716894574635,245.73443098740628
Java,io_bound,1,2,42.214949817266046,37.419619972164554,267.70024731737976
Java,io_bound,1,3,34.0264902803394,33.73058148957816,251.04299247663775
Java,io_bound,1,4,36.081316960014526,33.53140585615154,247.71495321489897
Java,io_bound,1,5,39.465949877871566,35.53378642546215,262.21194338897163
Java,io_bound,1,6,39.68257258552821,32.95819477347863,240.86583961201566
Java,io_bound,1,7,40.83944818583988,35.504550417766936,266.27481103557346
Java,io_bound,1,8,35.24453431924516,35.618724336249976,249.22614527242175
Java,io_bound,1,9,33.443722439870974,33.349960056339214,228.5559050957608
Java,io_bound,1,10,36.49066724980834,33.496157993892105,253.67390748070227
Java,io_bound,2,1,34.541587624852085,41.21902368927022,255.06220743023837
Java,io_bound,2,2,33.88962815778561,39.72855571952574,274.3004180595831
Java,io_bound,2,3,27.629131156952184,41.206564260092605,272.6357225647609
Java,io_bound,2,4,29.40321684245028,39.10862324025506,264.6836668123558
Java,io_bound,2,5,27.284876737895413,36.35099092549549,266.2542815649754
Java,io_bound,2,6,33.23830566384119,42.21484920153765,260.9093708946496
Java,io_bound,2,7,29.119362540686037,40.43591403295911,251.05186869500918
Java,io_bound,2,8,24.945206646769837,37.895488520860816,274.3660278579553
Java,io_bound,2,9,28.441066351866574,35.159411141824904,249.37670371695415
Java,io_bound,2,10,30.881805295611212,40.00191473812794,260.6525318083989
Java,io_bound,4,1,20.40228537716734,49.939439896251486,279.40489321395705
Java,io_bound,4,2,22.577547440699476,52.080358491789994,259.1707774433143
Java,io_bound,4,3,25.792498457217622,49.52755266296348,276.41817816260493
Java,io_bound,4,4,23.5098760221173,52.78814445237001,259.2325805595927
Java,io_bound,4,5,23.927459746328395,48.25762469859659,274.208519969055
Java,io_bound,4,6,20.870624492227442,49.482266175768856,264.1835314994354
Java,io_bound,4,7,20.72359580926517,50.929149586997745,259.29759092468305
Java,io_bound,4,8,26.917525785730202,49.68652898456077,290.10390011200184
Java,io_bound,4,9,21.843544401060484,48.0441275352967,267.32782650473496
Java,io_bound,4,10,25.95487115784686,49.19933453322467,274.49880415153837
Java,io_bound,8,1,21.349901016459413,69.69685039250612,264.4206594399723
Java,io_bound,8,2,20.633539679211093,70.1530501354958,287.02795833938256
Java,io_bound,8,3,16.2682970850875,68.22963997443942,288.1250347389821
Java,io_bound,8,4,18.67043915668298,69.76917407204151,286.4925539251339
Java,io_bound,8,5,20.28521128530442,68.20448736808866,298.90873502495856
Java,io_bound,8,6,16.697563661756465,64.77539459040796,301.41250190151186
Java,io_bound,8,7,17.54971258219334,70.76716651693764,285.6296983562609
Java,io_bound,8,8,21.193585586727245,67.53964192367968,295.7107813863106
Java,io_bound,8,9,20.331302794530533,69.54895201191772,303.4972613963477
Java,io_bound,8,10,24.20201835826237,69.22669335642117,298.6598954201559
Java,io_bound,16,1,22.14362340138359,100.0,326.21758475253176
Java,io_bound,16,2,15.864460604197642,100.0,331.8899467345863
Java,io_bound,16,3,20.871817216837556,100.0,320.8502138946514
Java,io_bound,16,4,15.465030112254146,100.0,339.2394841782547
