language,task,threads,mean,median,std,count
Java,io_bound,1,37.27369117626178,36.28599210491143,3.04067107836449,10
Java,io_bound,2,29.937418701871042,29.26128969156816,3.146180420720193,10
Java,io_bound,4,23.25198286896603,23.043711731408386,2.365064105847609,10
Java,io_bound,8,19.718157120621534,20.30825703991748,2.4336825303554717,10
Java,io_bound,16,17.55774996852072,16.21196639320445,3.570924257188714,10
Java,io_bound,32,15.614406400345331,15.578632653774282,3.5730088657235965,10
Java,matrix_mul,1,75.04915553220935,75.02721428546549,2.219385622327162,10
Java,matrix_mul,2,59.48867801448121,60.742665084833575,3.045186445186711,10
Java,matrix_mul,4,49.15640025822119,49.97979879491526,2.653994453129162,10
Java,matrix_mul,8,40.61585605740235,40.430406734231155,2.3706146776036934,10
Java,matrix_mul,16,34.37951741784668,34.245800311643194,3.1721023120917966,10
Java,matrix_mul,32,27.657759503968055,26.782714497362512,3.6837681895625476,10
Kotlin,io_bound,1,33.56257827920486,33.300109649467174,2.633152507688523,10
Kotlin,io_bound,2,26.861871175751695,27.699175387929728,1.9125259152411291,10
Kotlin,io_bound,4,22.78031263386796,22.598051476675195,1.8752921206078645,10
Kotlin,io_bound,8,17.78546460925218,17.930109275741923,3.2794592523225994,10
Kotlin,io_bound,16,14.554275912012011,15.216689950088965,2.2139611926879663,10
Kotlin,io_bound,32,11.83936409718137,11.889605716158442,1.941831370540927,10
Kotlin,matrix_mul,1,60.905935841678385,60.48372687080695,3.9501321738081527,10
Kotlin,matrix_mul,2,50.66663375236767,51.481620250937596,2.1167386292742894,10
Kotlin,matrix_mul,4,40.48095925183166,40.595466277650694,3.8375040671409772,10
Kotlin,matrix_mul,8,32.609864165049586,32.35138318493455,1.7320437311785366,10
Kotlin,matrix_mul,16,28.714508037850987,28.267266009390458,2.5829322321360797,10
Kotlin,matrix_mul,32,23.802692554048825,24.206401207491712,2.1840968306472446,10
